RK,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS,ESPN
245,Joe Ingles, SG,MIL,46,22.7,0.435,0.857,1.8,2.8,3.3,0.7,0.1,1.2,6.9,15.2
246,Isaiah Joe, SG,OKC,73,19.1,0.441,0.82,2.2,2.4,1.2,0.7,0.1,0.5,9.5,15.1
247,Isaiah Hartenstein, C,NYK,82,19.9,0.535,0.676,0.1,6.5,1.2,0.6,0.8,0.8,5,15
248,Jordan Nwora, SF,IND,62,19.2,0.436,0.791,1.4,3.7,1.4,0.4,0.2,1.1,8.7,15
249,Jordan Goodwin, G,WAS,62,17.8,0.448,0.768,0.6,3.3,2.7,0.9,0.4,0.9,6.6,14.9
250,Jay Huff, C,WAS,7,13.6,0.6,0.938,0.9,3,1.4,0.4,0.6,0.7,7.3,14.9
251,Taurean Prince, PF,MIN,54,22.1,0.467,0.844,1.4,2.4,1.6,0.5,0.3,1.3,9.1,14.9
252,Joshua Primo, SG,SAS,4,23.3,0.346,0.778,0.8,3.3,4.5,0.3,0.5,2.8,7,14.8
253,Jae Crowder, PF,MIL,18,18.9,0.479,0.833,1.3,3.8,1.5,0.7,0.3,0.4,6.9,14.7
254,Alex Caruso, SG,CHI,67,23.5,0.455,0.808,0.8,2.9,2.9,1.5,0.7,1.1,5.6,14.7
255,Pat Connaughton, SG,MIL,61,23.7,0.392,0.659,1.8,4.6,1.3,0.6,0.2,0.5,7.6,14.7
256,Cam Thomas, SG,BKN,57,16.6,0.441,0.868,0.9,1.7,1.4,0.4,0.1,1.1,10.6,14.7
257,Theo Maledon, PG,CHA,44,19.4,0.402,0.851,0.6,2.8,3.5,0.8,0.3,1.3,6.7,14.7
258,Andre Drummond, C,CHI,67,12.7,0.606,0.536,0,6.6,0.5,0.7,0.4,1.1,6,14.5
259,Seth Curry, SG,BKN,61,19.9,0.463,0.927,1.5,1.6,1.6,0.6,0.1,0.8,9.2,14.5
260,Mo Bamba, C,LAL,49,15.7,0.485,0.661,1,4.6,0.9,0.3,0.9,0.6,6.6,14.3
261,Dwight Powell, C,DAL,76,19.2,0.732,0.667,0,4.1,0.9,0.6,0.3,0.9,6.7,14.2
262,Troy Brown Jr., SF,LAL,76,24.5,0.43,0.872,1.4,4.1,1.3,0.8,0.2,0.6,7.1,14.1
263,Trey Lyles, PF,SAC,74,16.9,0.458,0.815,1.2,4.1,0.9,0.4,0.4,0.9,7.6,14.1
264,Cory Joseph, PG,DET,62,19.8,0.427,0.792,1.1,1.7,3.5,0.5,0.1,0.9,6.9,14
265,Gary Harris, SG,ORL,48,24.7,0.45,0.9,2,2,1.2,0.9,0.3,0.6,8.3,14
266,Cedi Osman, SF,CLE,77,20.1,0.451,0.694,1.5,2.3,1.5,0.5,0.1,0.7,8.7,14
267,Ty Jerome, SG,GSW,45,18.1,0.488,0.927,0.8,1.7,3,0.5,0.1,0.7,6.9,14
268,Landry Shamet, SG,PHO,40,20.2,0.377,0.882,1.9,1.7,2.3,0.7,0.1,0.9,8.7,14
269,Reggie Bullock, SF,DAL,78,30.3,0.409,0.703,1.9,3.6,1.4,0.7,0.2,0.5,7.2,13.9
270,AJ Griffin, F,ATL,72,19.5,0.465,0.894,1.4,2.1,1,0.6,0.2,0.6,8.9,13.9
271,Damion Lee, SG,PHO,74,20.4,0.442,0.904,1.5,3,1.3,0.4,0.1,1.1,8.2,13.8
